patients,doctors,r_matching
P13,D2,0.620228635399967
P13,D3,0.63504908845526
P13,D4,0.589752182541143
P13,D5,0.647880405464271
P13,D6,0.633360510709121
P13,D7,0.628454265549482
P13,D8,0.617567180811128
P13,D9,0.606677324356931
P13,D10,0.640770384299225
P13,D11,0.640565331197446
P13,D12,0.643912869694863
P13,D13,0.588684585335989
P13,D14,0.620613037143592
P13,D15,0.660844076642456
P13,D16,0.732343292437549
P13,D17,0.643606602744077
P13,D18,0.799431163264624
P13,D19,0.623179493241633
P13,D20,0.650250811743606
P13,D21,0.804092189003721
P13,D22,0.849897964103412
P13,D23,0.865493912397679
P13,D24,0.718571359625219
P13,D25,0.62649382986321
P13,D26,0.654509283787713
P13,D27,0.590101576830546
P13,D28,0.668851745136055
P13,D29,0.6277023685705
P13,D30,0.638518195075103
P13,D31,0.875670828961479
P13,D32,0.606996628579244
P13,D33,0.632584070465916
P13,D34,0.616724677413407
P13,D35,0.885550041552151
P13,D36,0.547834587041799
P14,D1,0.657474224396542
P14,D2,0.631883957842295
P14,D3,0.631096448509323
P14,D4,0.619594650318088
P14,D5,0.914299876758629
P14,D6,0.638681361888714
P14,D7,0.637712915512273
P14,D8,0.623705873707169
P14,D9,0.617119120508911
P14,D10,0.652600483524345
P14,D11,0.824260333464937
P14,D12,0.664808810559716
P14,D13,0.612136685870392
P14,D14,0.634007444380326
P14,D15,0.67254974702207
P14,D16,0.877191376619473
P14,D17,0.654964108815844
P14,D18,0.577066657868578
P14,D19,0.618291450788015
P14,D20,0.682416706280627
P14,D21,0.58788996262099
P14,D22,0.634563110364068
P14,D23,0.667869267115017
P14,D24,0.84022508941206
P14,D25,0.640549729903045
P14,D26,0.653683998325958
P14,D27,0.616553471673226
P14,D28,0.903752137769784
P14,D29,0.864092654355268
P14,D30,0.650537138193792
P14,D31,0.657144720353337
P14,D32,0.639707081003566
P14,D33,0.668153204046041
P14,D34,0.628117729321128
P14,D35,0.67002745425469
P14,D36,0.568400933208464
P15,D1,0.69448420066019
P15,D2,0.668173978921751
P15,D3,0.665981331161455
P15,D4,0.868916396383444
P15,D5,0.664674732771038
P15,D6,0.660153179071703
P15,D7,0.667423822472438
P15,D8,0.667116463641942
P15,D9,0.633133625865909
P15,D10,0.673099692093057
P15,D11,0.687408652036883
P15,D12,0.677749576990051
P15,D13,0.614518579069342
P15,D14,0.671132205593666
P15,D15,0.701981379062449
P15,D16,0.696254414201596
P15,D17,0.682555181914684
P15,D18,0.595899656020786
P15,D19,0.651364792249182
P15,D20,0.695332448044662
P15,D21,0.61844247027742
P15,D22,0.658623016179828
P15,D23,0.659686617062511
P15,D24,0.697320140948862
P15,D25,0.65537310932568
P15,D26,0.684019354985588
P15,D27,0.623998534023118
P15,D28,0.686256473197847
P15,D29,0.653939871438011
P15,D30,0.670258965015681
P15,D31,0.683719559926773
P15,D32,0.651905829929378
P15,D33,0.680301202348431
P15,D34,0.653886443053113
P15,D35,0.67570362382954
P15,D36,0.570067471961909
P16,D1,0.634706952583234
P16,D2,0.648691694616796
P16,D3,0.625573305491584
P16,D4,0.600815488842988
P16,D5,0.618944743392249
P16,D6,0.62207772061425
P16,D7,0.623825060780898
P16,D8,0.632007223347863
P16,D9,0.588494598190207
P16,D10,0.878895700420331
P16,D11,0.77777124738084
P16,D12,0.901743768274469
P16,D13,0.591115752421954
P16,D14,0.867373623280261
P16,D15,0.876419735233578
P16,D16,0.642567307234164
P16,D17,0.893983830968963
P16,D18,0.567339467022438
P16,D19,0.600205066393687
P16,D20,0.887083949091176
P16,D21,0.57881105305508
P16,D22,0.622409322591669
P16,D23,0.629944420190753
P16,D24,0.65062482409744
P16,D25,0.874878840328348
P16,D26,0.897402628515198
P16,D27,0.592413696166813
P16,D28,0.637482891753762
P16,D29,0.618549650837709
P16,D30,0.649079667433814
P16,D31,0.63650543835814
P16,D32,0.630017788687683
P16,D33,0.637675501083568
P16,D34,0.852298110402837
P16,D35,0.64835231873644
P16,D36,0.782924756009384
P17,D1,0.906410009673154
P17,D2,0.907748197384611
P17,D3,0.650270928985278
P17,D4,0.619610147283501
P17,D5,0.643598896130506
P17,D6,0.645130548410847
P17,D7,0.899437089524312
P17,D8,0.661166472954014
P17,D9,0.867364107581711
P17,D10,0.666016886710977
P17,D11,0.687080715946125
P17,D12,0.663575750160225
P17,D13,0.598835455142894
P17,D14,0.646938198978123
P17,D15,0.685840402170216
P17,D16,0.667819969747514
P17,D17,0.654463869510565
P17,D18,0.566603790167274
P17,D19,0.886119451693011
P17,D20,0.673994026189746
P17,D21,0.61080161423824
P17,D22,0.66456449437541
P17,D23,0.657527492143594
P17,D24,0.682863863513563
P17,D25,0.654543961120634
P17,D26,0.666797819587961
P17,D27,0.595664465694614
P17,D28,0.662026879299663
P17,D29,0.659571704215039
P17,D30,0.662609842513424
P17,D31,0.660725644198154
P17,D32,0.635290379510939
P17,D33,0.673343007705904
P17,D34,0.633655858898378
P17,D35,0.661068192619576
P17,D36,0.550878240694537
P18,D1,0.916312316873204
P18,D2,0.903408161516466
P18,D3,0.6287806242737
P18,D4,0.656986371291984
P18,D5,0.639831049987462
P18,D6,0.662610533928689
P18,D7,0.908469020508058
P18,D8,0.661853142400149
P18,D9,0.886345055360692
P18,D10,0.657669806569065
P18,D11,0.666836342794634
P18,D12,0.639303737693956
P18,D13,0.646682199383947
P18,D14,0.679448291940339
P18,D15,0.703266029532884
P18,D16,0.684430857056365
P18,D17,0.699572503498106
P18,D18,0.628083709748385
P18,D19,0.875737868481119
P18,D20,0.666378301475622
P18,D21,0.631995532214019
P18,D22,0.664361875197629
P18,D23,0.648794070141149
P18,D24,0.695165852461478
P18,D25,0.639772229721971
P18,D26,0.671870480614601
P18,D27,0.634756504002992
P18,D28,0.652130851101953
P18,D29,0.647604069234676
P18,D30,0.65054061928871
P18,D31,0.660231877852516
P18,D32,0.672096947615891
P18,D33,0.656446771012742
P18,D34,0.671565838635265
P18,D35,0.662953537769676
P18,D36,0.595600925071088
P19,D1,0.638600497157147
P19,D2,0.608432462199011
P19,D3,0.619490305528678
P19,D4,0.598242572484485
P19,D5,0.867914467803329
P19,D6,0.613052086593221
P19,D7,0.622690338103405
P19,D8,0.630443573256227
P19,D9,0.59533845792933
P19,D10,0.630523286037586
P19,D11,0.788336749542122
P19,D12,0.648768081411861
P19,D13,0.590601661282033
P19,D14,0.633096035459222
P19,D15,0.646323405967934
P19,D16,0.835717559366584
P19,D17,0.64585029617016
P19,D18,0.573925283217578
P19,D19,0.640403891672595
P19,D20,0.649797489213489
P19,D21,0.581655549491071
P19,D22,0.618510169703067
P19,D23,0.621671675307604
P19,D24,0.831731595661365
P19,D25,0.660255265475124
P19,D26,0.637334015437624
P19,D27,0.588524873476992
P19,D28,0.885635506660218
P19,D29,0.87245620283476
P19,D30,0.624388179007798
P19,D31,0.678518053874899
P19,D32,0.620423150995026
P19,D33,0.626228540728431
P19,D34,0.609926679631099
P19,D35,0.639330115608754
P19,D36,0.546845364383808
P20,D1,0.666524722340553
P20,D2,0.650391434968076
P20,D3,0.6177692223449
P20,D4,0.603082913843772
P20,D5,0.622048522762151
P20,D6,0.882105867345943
P20,D7,0.630448490310606
P20,D8,0.891671377366521
P20,D9,0.607151606099431
P20,D10,0.642282986459326
P20,D11,0.651915225368724
P20,D12,0.629251266705361
P20,D13,0.59806061684335
P20,D14,0.633537060780303
P20,D15,0.667882057537392
P20,D16,0.639974254806508
P20,D17,0.658975858029761
P20,D18,0.571917865083939
P20,D19,0.607286960005933
P20,D20,0.667185253477727
P20,D21,0.582855927127188
P20,D22,0.647340585676711
P20,D23,0.63773227476948
P20,D24,0.670011335652159
P20,D25,0.618120847483642
P20,D26,0.643881231773505
